id,user_followers,text,user_description,created,user_location,coordinates,id_str,user_created,retweet_count,user_name
1,707,Trump Deputy Assistant Exposed Wearing Nazi Medal At Inauguration (IMAGES) https://t.co/ZFmDBtUciH via @Bipartisan Report,"#Resist Fight for democracy ~ life, liberty, & the pursuit of happiness for all. America is ours, it's also a port in the storm. #ImStillWithHer #Obama",2017-02-14T00:03:29,United States,,831292743477559296,2009-07-06T20:11:28,0,chesscat48
2,4,Democrats Plan To Impeach Trump Through Conflicts Of Interest: Ignore Clinto (RT↺❤️) ️️ https://t.co/k6MGWcJQdC,Daily news video:,2017-02-14T00:03:29,,,831292743104229377,2017-02-12T01:03:49,0,KnowYourLeaker
3,175,"@donaldtrump Trump supporters have 2 support President Trump &amp; his family, boycott all that try &amp; hurt either of th… https://t.co/Mb39Fv0WST","Businessman (owned Restaurants) & Certificated Paralegal. Conservative financially, but liberal-moderate leanings on legitimate Social issues! USA Patriot 1st!",2017-02-14T00:03:29,"California, USA",,831292743716466688,2016-05-09T14:49:28,0,FernbergRon
4,1402,#BackTheBlue https://t.co/l4AO2WHhvZ,"The Tree of Liberty must be refreshed from time to time with the blood of patriots and tyrants.
#Veteran #MAGA #2A #1A #ΜΟΛΩΝΛΑΒΕ
Patriot, Nationalist, #POTUS45",2017-02-14T00:03:29,Hamburger Hill ,,831292744383549440,2016-06-10T01:13:16,0,AnnKelly007
5,47367,We need some other name. Kleptocracy HQ? https://t.co/idujLdRAt5,"@Dartmouth political science professor & @UpshotNYT contributor. Before: CJR media critic, Spinsanity/All the President's Spin co-author. http://t.co/BwoeFccCrA",2017-02-14T00:03:29,"Hanover, NH",,831292744836456448,2009-10-23T18:18:59,0,BrendanNyhan
6,5587,"Trump Bypasses MSM At Trudeau Press Conference, ""Failing"" NYT Journalist Has Hissy Fit https://t.co/0W23xcSoco","Conservative,  IT Professional, Knights Templar, Christian,  Philosopher, Seeker of Wisdom in Faith and History.",2017-02-14T00:03:29,"Montgomery, AL",,831292745494962177,2009-01-29T20:05:20,0,Sir_Templar
7,663,E ainda manchei minha calça com milk akakka,Winchester Bros | ♉️,2017-02-14T00:03:29,"Rio Grande do Sul, Brasil",,831292745717260292,2015-06-23T22:18:20,0,GabrielleeF_
8,3928,Pobre iluso 😂y seguro que el chinito se va quedar quieto con Donald 🔫 https://t.co/n9oNzm9bHo,¡Tengo la dicha de decir que viví en los tiempos de CHÁVEZ! Y apoyo a nuestro pdte. Nicolás Maduro!!! #TROPA ♏,2017-02-14T00:03:29,Vnzla ,,831292745264332800,2013-04-07T23:43:45,0,roxeirys1
9,203,To muito feliz pq comprei um moletom e a mãe ainda vai me dar duas calças e umas blusas,Snap: milenasauer,2017-02-14T00:03:30,,,831292746879139845,2013-04-03T00:26:42,0,milenasauer_
10,2,YOU GO GIRL! https://t.co/nBfA4C3ns7,,2017-02-14T00:03:30,,,831292746711265281,2014-02-25T03:45:07,0,ccwhit36
11,70668,#BreakingNews Seattle judge says suit against Trump travel bag can proceed in lower court,Proximity to power deludes some into believing they wield it. I put an end to that sort of thinking ... Some say I make Anthony Pellicano look like an angel.,2017-02-14T00:03:30,"Newport Beach, California ",,831292747533451266,2015-12-05T11:01:54,0,RWSurferGirl1
12,188,"#CyberSecurity Former NSA chief: Trump is ""the president our nation needs"" on cybersecurity https://t.co/jilWWK4dHb","Entrepreneurial Marketing, PLM, & BizDev Strategist | Security & Social Media | All-Around Swell Guy ... Obligatory Disclaimer: All views expressed are my own.",2017-02-14T00:03:30,"Boston, MA",,831292746921017344,2009-02-19T22:50:42,0,davedaprile
13,1763,"@BeauWillimon
 @GOP = #Trumpublican Party forever now.
If Gorsuch confirmed- he'll always be Trump's #SCOTUS judge--a pariah like ClarenceT.",O say does that Star-Spangled Banner yet wave...when there's no land of the free? and no home of the brave?  😢😢,2017-02-14T00:03:30,,,831292748087095301,2015-03-25T22:58:37,0,BooRadleyHere
14,7,@realDonaldTrump @CNNPolitics @TheLeadCNN Trumps cabinet graduated from Trump Brainwashed School.Was paid a (Stupid… https://t.co/h1KuZXhKxZ,,2017-02-14T00:03:30,"London, Ontario, Canada",,831292748879761408,2013-05-23T18:11:42,0,Tough2Shake
